number_in_quran	sura_no	aya_no	text
497	4	4	﴿وآتُوا﴾ أعْطُوا ﴿النِّساء صَدَقاتهنَّ﴾ جَمْع صَدَقَة مُهُورهنَّ ﴿نِحْلَة﴾ مَصْدَر عَطِيَّة عَنْ طِيب نَفْس ﴿فَإنْ طِبْنَ لَكُمْ عَنْ شَيْء مِنهُ نَفْسًا﴾ تَمْيِيز مُحَوَّل عَنْ الفاعِل أيْ طابَتْ أنْفُسهنَّ لَكُمْ عَنْ شَيْء مِن الصَّداق فَوَهَبْنَهُ لَكُمْ ﴿فَكُلُوهُ هَنِيئًا﴾ طَيِّبًا ﴿مَرِيئًا﴾ مَحْمُود العاقِبَة لا ضَرَر فِيهِ عَلَيْكُمْ فِي الآخِرَة نَزَلَتْ رَدًّا عَلى مَن كَرِهَ ذَلِكَ
498	4	5	﴿ولا تُؤْتُوا﴾ أيّها الأَوْلِياء ﴿السُّفَهاء﴾ المُبَذِّرِينَ مِن الرِّجال والنِّساء والصِّبْيان ﴿أمْوالكُمْ﴾ أيْ أمْوالكُمْ الَّتِي فِي أيْدِيكُمْ ﴿الَّتِي جَعَلَ اللَّه لَكُمْ قِيامًا﴾ مَصْدَر قامَ أيْ تَقُوم بِمَعاشِكُمْ وصَلاح أوْلادكُمْ فَيَضَعُوها فِي غَيْر وجْهها وفِي قِراءَة قِيَمًا جَمْع قِيمَة ما تَقُوم بِهِ الأَمْتِعَة ﴿وارْزُقُوهُمْ فِيها﴾ أيْ أطْعِمُوهُمْ مِنها ﴿واكْسُوهُمْ وقُولُوا لَهُمْ قَوْلًا مَعْرُوفًا﴾ عِدُوهُمْ عِدَة جَمِيلَة بِإعْطائِهِمْ أمْوالهمْ إذا رَشَدُوا.
499	4	6	﴿وابْتَلُوا﴾ اخْتَبِرُوا ﴿اليَتامى﴾ قَبْل البُلُوغ فِي دِينهمْ وتَصَرُّفهمْ فِي أحْوالهمْ ﴿حَتّى إذا بَلَغُوا النِّكاح﴾ أيْ صارُوا أهْلًا لَهُ بِالِاحْتِلامِ أوْ السِّنّ وهُوَ اسْتِكْمال خَمْس عَشْرَة سَنَة عِنْد الشّافِعِيّ ﴿فَإنْ آنَسْتُمْ﴾ أبْصَرْتُمْ ﴿مِنهُمْ رُشْدًا﴾ صَلاحًا فِي دِينهمْ ومالهمْ ﴿فادْفَعُوا إلَيْهِمْ أمْوالهمْ ولا تَأْكُلُوها﴾ أيّها الأَوْلِياء ﴿إسْرافًا﴾ بِغَيْرِ حَقّ حال ﴿وبِدارًا﴾ أيْ مُبادِرِينَ إلى إنْفاقها مَخافَة ﴿أنْ يَكْبُرُوا﴾ رُشَداء فَيَلْزَمكُمْ تَسْلِيمها إلَيْهِمْ ﴿ومَن كانَ غَنِيًّا﴾ مِن الأَوْلِياء ﴿فَلْيَسْتَعْفِفْ﴾ أيْ يَعِفّ عَنْ مال اليَتِيم ويَمْتَنِع مِن أكْله ﴿ومَن كانَ فَقِيرًا فَلْيَأْكُلْ﴾ مِنهُ ﴿بِالمَعْرُوفِ﴾ بِقَدْرِ أُجْرَة عَمَله ﴿فَإذا دَفَعْتُمْ إلَيْهِمْ﴾ أيْ إلى اليَتامى ﴿أمْوالهمْ فَأَشْهِدُوا عَلَيْهِمْ﴾ أنَّهُمْ تَسَلَّمُوها وبَرِئْتُمْ لِئَلّا يَقَع اخْتِلاف فَتَرْجِعُوا إلى البَيِّنَة وهَذا أمْر إرْشاد ﴿وكَفى بِاللَّهِ﴾ الباء زائِدَة ﴿حَسِيبًا﴾ حافِظًا لِأَعْمالِ خَلْقه ومُحاسِبهمْ
500	4	7	ونَزَلَ رَدًّا لِما كانَ عَلَيْهِ فِي الجاهِلِيَّة مِن عَدَم تَوْرِيث النِّساء والصِّغار: ﴿لِلرِّجالِ﴾ الأَوْلاد والأَقْرِباء، ﴿نَصِيب﴾ حَظّ ﴿مِمّا تَرَكَ الوالِدانِ والأَقْرَبُونَ﴾ المُتَوَفَّوْنَ ﴿ولِلنِّساءِ نَصِيب مِمّا تَرَكَ الوالِدانِ والأَقْرَبُونَ مِمّا قَلَّ مِنهُ﴾ أيْ المال ﴿أوْ كَثُرَ﴾ جَعَلَهُ اللَّه ﴿نَصِيبًا مَفْرُوضًا﴾ مَقْطُوعًا بِتَسْلِيمِهِ إلَيْهِمْ
501	4	8	﴿وإذا حَضَرَ القِسْمَة﴾ لِلْمِيراثِ ﴿أُولُو القُرْبى﴾ ذَوُو القَرابَة مِمَّنْ لا يَرِث ﴿واليَتامى والمَساكِين فارْزُقُوهُمْ مِنهُ﴾ شَيْئًا قَبْل القِسْمَة ﴿وقُولُوا﴾ أيّها الأَوْلِياء ﴿لَهُمْ﴾ إذا كانَ الوَرَثَة صِغارًا ﴿قَوْلًا مَعْرُوفًا﴾ جَمِيلًا بِأَنْ تَعْتَذِرُوا إلَيْهِمْ أنَّكُمْ لا تَمْلِكُونَهُ وأَنَّهُ لِلصِّغارِ وهَذا قِيلَ إنّهُ مَنسُوخ وقِيلَ لا ولَكِنْ تَهاوَنَ النّاس فِي تَرْكه وعَلَيْهِ فَهُوَ نَدْب وعَنْ ابْن عَبّاس واجِب
502	4	9	﴿ولْيَخْشَ﴾ أيْ لِيَخَفْ عَلى اليَتامى ﴿الَّذِينَ لَوْ تَرَكُوا﴾ أيْ قارَبُوا أنْ يَتْرُكُوا ﴿مِن خَلْفهمْ﴾ أيْ بَعْد مَوْتهمْ ﴿ذُرِّيَّة ضِعافًا﴾ أوْلادًا صِغارًا ﴿خافُوا عَلَيْهِمْ﴾ الضَّياع ﴿فَلْيَتَّقُوا اللَّه﴾ فِي أمْر اليَتامى ولْيَأْتُوا إلَيْهِ ما يُحِبُّونَ أنْ يُفْعَل بِذُرِّيَّتِهِمْ مِن بَعْدهمْ ﴿ولْيَقُولُوا﴾ لِمَن حَضَرَتْهُ الوَفاة ﴿قَوْلًا سَدِيدًا﴾ صَوابًا بِأَنْ يَأْمُرُوهُ أنْ يَتَصَدَّق بِدُونِ ثُلُثه ويَدَع الباقِي لِوَرَثَتِهِ ولا يَتْرُكهُمْ عالَة
503	4	10	﴿إنّ الَّذِينَ يَأْكُلُونَ أمْوال اليَتامى ظُلْمًا﴾ بِغَيْرِ حَقّ ﴿إنّما يَأْكُلُونَ فِي بُطُونهمْ﴾ أيْ مِلْأَها ﴿نارًا﴾ لِأَنَّهُ يُؤَوَّل إلَيْها ﴿وسَيَصْلَوْنَ﴾ بِالبِناءِ لِلْفاعِلِ والمَفْعُول يَدْخُلُونَ ﴿سَعِيرًا﴾ نارًا شَدِيدَة يَحْتَرِقُونَ فِيها
504	4	11	﴿يُوصِيكُمْ﴾ يَأْمُركُمْ ﴿اللَّه فِي﴾ شَأْن ﴿أوْلادكُمْ﴾ بِما يَذْكُر ﴿لِلذَّكَرِ﴾ مِنهُمْ ﴿مِثْل حَظّ﴾ نَصِيب ﴿الأُنْثَيَيْنِ﴾ إذا اجْتَمَعَتا مَعَهُ فَلَهُ نِصْف المال ولَهُما النِّصْف فَإنْ كانَ مَعَهُ واحِدَة فَلَها الثُّلُث ولَهُ الثُّلُثانِ وإنْ انْفَرَدَ حازَ المال ﴿فَإنْ كُنَّ﴾ أيْ الأَوْلاد ﴿نِساء﴾ فَقَطْ ﴿فَوْق اثْنَتَيْنِ فَلَهُنَّ ثُلُثا ما تَرَكَ﴾ المَيِّت وكَذا الِاثْنَتانِ لِأَنَّهُ لِلْأُخْتَيْنِ بِقَوْلِهِ ﴿فَلَهُما الثُّلُثانِ مِمّا تَرَكَ﴾ فَهُما أوْلى ولِأَنَّ البِنْت تَسْتَحِقّ الثُّلُث مَعَ الذَّكَر فَمَعَ الأُنْثى أوْلى (وفَوْق) قِيلَ صِلَة وقِيلَ لِدَفْعِ تَوَهُّم زِيادَة النَّصِيب بِزِيادَةِ العَدَد لِما فُهِمَ اسْتِحْقاق البِنْتَيْنِ الثُّلُثَيْنِ مِن جَعْل الثُّلُث لِلْواحِدَةِ مَعَ الذَّكَر ﴿وإنْ كانَتْ﴾ المَوْلُودَة ﴿واحِدَة﴾ وفِي قِراءَة بِالرَّفْعِ فَكانَ تامَّة ﴿فَلَها النِّصْف ولِأَبَوَيْهِ﴾ أيْ المَيِّت ويُبْدَل مِنهُما ﴿لِكُلِّ واحِد مِنهُما السُّدُس مِمّا تَرَكَ إنْ كانَ لَهُ ولَد﴾ ذَكَر أوْ أُنْثى ونُكْتَة البَدَل إفادَة أنَّهُما لا يَشْتَرِكانِ فِيهِ وأُلْحِق بِالوَلَدِ ولَد الِابْن وبِالأَبِ الجَدّ ﴿فَإنْ لَمْ يَكُنْ لَهُ ولَد ووَرِثَهُ أبَواهُ﴾ فَقَطْ أوْ مَعَ زَوْج ﴿فَلِأُمِّهِ﴾ بِضَمِّ الهَمْزَة وكَسْرها فِرارًا مِن الِانْتِقال مِن ضَمَّة إلى كَسْرَة لِثَقَلِهِ فِي المَوْضِعَيْنِ ﴿الثُّلُث﴾ أيْ ثُلُث المال أوْ ما يَبْقى بَعْد الزَّوْج والباقِي لِلْأَبِ ﴿فَإنْ كانَ لَهُ إخْوَة﴾ أيْ اثْنانِ فَصاعِدًا ذُكُورًا أوْ إناثًا ﴿فَلِأُمِّهِ السُّدُس﴾ والباقِي لِلْأَبِ ولا شَيْء لِلْإخْوَةِ وإرْث مَن ذُكِرَ ما ذُكِرَ ﴿مِن بَعْد﴾ تَنْفِيذ ﴿وصِيَّة يُوصِي﴾ بِالبِناءِ لِلْفاعِلِ والمَفْعُول ﴿بِها أوْ﴾ قَضاء ﴿دَيْن﴾ عَلَيْهِ وتَقْدِيم الوَصِيَّة عَلى الدَّيْن وإنْ كانَتْ مُؤَخَّرَة عَنْهُ فِي الوَفاء لِلِاهْتِمامِ بِها ﴿آباؤُكُمْ وأَبْناؤُكُمْ﴾ مُبْتَدَأ خَبَره ﴿لا تَدْرُونَ أيّهمْ أقْرَب لَكُمْ نَفْعًا﴾ ﴿لا تَدْرُونَ أيّهمْ أقْرَب لَكُمْ نَفْعًا﴾ فِي الدُّنْيا والآخِرَة فَظانّ أنَّ ابْنه أنْفَع لَهُ فَيُعْطِيه المِيراث فَيَكُون الأَب أنْفَع وبِالعَكْسِ وإنَّما العالِم بِذَلِك هُوَ اللَّه فَفَرَضَ لَكُمْ المِيراث ﴿فَرِيضَة مِن اللَّه إنّ اللَّه كانَ عَلِيمًا﴾ بِخَلْقِهِ ﴿حَكِيمًا﴾ فِيما دَبَّرَهُ لَهُمْ: أيْ لَمْ يَزَلْ مُتَّصِفًا بِذَلِكَ
505	4	12	﴿ولَكُمْ نِصْف ما تَرَكَ أزْواجكُمْ إنْ لَمْ يَكُنْ لَهُنَّ ولَد﴾ مِنكُمْ أوْ مِن غَيْركُمْ ﴿فَإنْ كانَ لَهُنَّ ولَد فَلَكُمْ الرُّبُع مِمّا تَرَكْنَ مِن بَعْد وصِيَّة يُوصِينَ بِها أوْ دَيْن﴾ وأُلْحِق بِالوَلَدِ فِي ذَلِكَ ولَد الِابْن بِالإجْماعِ ﴿ولَهُنَّ﴾ أيْ الزَّوْجات تَعَدَّدْنَ أوَّلًا ﴿الرُّبُع مِمّا تَرَكْتُمْ إنْ لَمْ يَكُنْ لَكُمْ ولَد فَإنْ كانَ لَكُمْ ولَد﴾ مِنهُنَّ أوْ مِن غَيْرهنَّ ﴿فَلَهُنَّ الثُّمُن بِما تَرَكْتُمْ مِن بَعْد وصِيَّة تُوصُونَ بِها أوْ دَيْن﴾ ووَلَد الِابْن فِي ذَلِكَ كالوَلَدِ إجْماعًا ﴿وإنْ كانَ رَجُل يُورَث﴾ صِفَة والخَبَر ﴿كَلالَة﴾ أيْ لا والِد لَهُ ولا ولَد ﴿أوْ امْرَأَة﴾ تُورَث كَلالَة ﴿ولَهُ﴾ أيْ لِلْمُورِثِ كَلالَة ﴿أخ أوْ أُخْت﴾ أيْ مِن أُمّ وقَرَأَ بِهِ ابْن مَسْعُود وغَيْره ﴿فَلِكُلِّ واحِد مِنهُما السُّدُس﴾ مِمّا تَرَكَ ﴿فَإنْ كانُوا﴾ أيْ الإخْوَة والأَخَوات مِن الأُمّ ﴿أكْثَر مِن ذَلِكَ﴾ أيْ مِن واحِد ﴿فَهُمْ شُرَكاء فِي الثُّلُث﴾ يَسْتَوِي فِيهِ ذَكَرهمْ وأُنْثاهُمْ ﴿مِن بَعْد وصِيَّة يُوصى بِها أوْ دَيْن غَيْر مُضارّ﴾ حال مِن ضَمِير يُوصى أيْ غَيْر مُدْخِل الضَّرَر عَلى الوَرَثَة بِأَنْ يُوصِي بِأَكْثَر مِن الثُّلُث ﴿وصِيَّة﴾ مَصْدَر مُؤَكِّد ليُوصِيكُمْ ﴿مِن دُون اللَّه واللَّه عَلِيم﴾ بِما دَبَّرَهُ لِخَلْقِهِ مِن الفَرائِض ﴿حَلِيم﴾ بِتَأْخِيرِ العُقُوبَة عَمَّنْ خالَفَهُ وخَصَّتْ السُّنَّة تَوْرِيث مَن ذُكِرَ بِمَن لَيْسَ فِيهِ مانِع مِن قَتْل أوْ اخْتِلاف دِين أوْ رِقّ
506	4	13	﴿تِلْكَ﴾ الأَحْكام المَذْكُورَة مِن أمْر اليَتامى وما بَعْده ﴿حُدُود اللَّه﴾ شَرائِعه الَّتِي حَدّها لِعِبادِهِ لِيَعْمَلُوا بِها ولا يَتَعَدَّوْها ﴿ومَن يُطِعْ اللَّه ورَسُوله﴾ فِيما حَكَمَ بِهِ ﴿يُدْخِلهُ﴾ بِالياءِ والنُّون التِفاتًا
507	4	14	﴿ومَن يَعْصِ اللَّه ورَسُوله ويَتَعَدَّ حُدُوده يُدْخِلهُ﴾ بِالوَجْهَيْنِ ﴿نارًا خالِدًا فِيها ولَهُ﴾ فِيها ﴿عَذاب مُهِين﴾ ذُو إهانَة رُوعِيَ فِي الضَّمائِر فِي الآيَتَيْنِ لَفْظ مَن وفِي خالِدِينَ مَعْناها
508	4	15	﴿واللّاتِي يَأْتِينَ الفاحِشَة﴾ الزِّنا ﴿مِن نِسائِكُمْ فاسْتَشْهِدُوا عَلَيْهِنَّ أرْبَعَة مِنكُمْ﴾ أيْ مِن رِجالكُمْ المُسْلِمِينَ ﴿فَإنْ شَهِدُوا﴾ عَلَيْهِنَّ بِها ﴿فَأَمْسِكُوهُنَّ﴾ احْبِسُوهُنَّ ﴿فِي البُيُوت﴾ وامْنَعُوهُنَّ مِن مُخالَطَة النّاس ﴿حَتّى يَتَوَفّاهُنَّ المَوْت﴾ أيْ مَلائِكَته ﴿أوْ﴾ إلى أنْ ﴿يَجْعَل اللَّه لَهُنَّ سَبِيلًا﴾ طَرِيقًا إلى الخُرُوج مِنها أُمِرُوا بِذَلِكَ أوَّل الإسْلام ثُمَّ جَعَلَ لَهُنَّ سَبِيلًا بِجَلْدِ البِكْر مِائَة وتَغْرِيبها عامًا ورَجْم المُحْصَنَة وفِي الحَدِيث لَمّا بَيَّنَ الحَدّ قالَ (خُذُوا عَنِّي خُذُوا عَنِّي قَدْ جَعَلَ اللَّه لَهُنَّ سَبِيلًا) رَواهُ مُسْلِم
509	4	16	﴿واللَّذانِ﴾ بِتَخْفِيفِ النُّون وتَشْدِيدها ﴿يَأْتِيانِها﴾ أيْ الفاحِشَة الزِّنا أوْ اللِّواط ﴿مِنكُمْ﴾ أيْ الرِّجال ﴿فَآذُوهُما﴾ بِالسَّبِّ والضَّرْب بِالنِّعالِ، ﴿فَإنْ تابا﴾ مِنها ﴿وأَصْلَحا﴾ العَمَل ﴿فَأَعْرِضُوا عَنْهُما﴾ ولا تُؤْذُوهُما ﴿إنّ اللَّه كانَ تَوّابًا﴾ عَلى مَن تابَ ﴿رَحِيمًا﴾ بِهِ وهَذا مَنسُوخ بِالحَدِّ إنْ أُرِيدَ بِها الزِّنا وكَذا إنْ أُرِيدَ بِها اللِّواط عِنْد الشّافِعِيّ لَكِنَّ المَفْعُول بِهِ لا يُرْجَم عِنْده وإنْ كانَ مُحْصَنًا بَلْ يُجْلَد ويُغَرَّب وإرادَة اللِّواط أظْهَر بِدَلِيلِ تَثْنِيَة الضَّمِير والأَوَّل قالَ أرادَ الزّانِي والزّانِيَة ويَرُدّهُ تَبْيِينهما بِمَن المُتَّصِلَة بِضَمِيرِ الرِّجال واشْتِراكهما فِي الأَذى والتَّوْبَة والإعْراض وهُوَ مَخْصُوص بِالرِّجالِ لِما تَقَدَّمَ فِي النِّساء فِي الحَبْس
510	4	17	﴿إنّما التَّوْبَة عَلى اللَّه﴾ أيْ الَّتِي كَتَبَ عَلى نَفْسه قَبُولها بِفَضْلِهِ ﴿لِلَّذِينَ يَعْمَلُونَ السُّوء﴾ المَعْصِيَة ﴿بِجَهالَةٍ﴾ حال أيْ جاهِلِينَ إذا عَصَوْا رَبّهمْ ﴿ثُمَّ يَتُوبُونَ مِن﴾ زَمَن ﴿قَرِيب﴾ قَبْل أنْ يُغَرْغِرُوا ﴿فَأُولَئِكَ يَتُوب اللَّه عَلَيْهِمْ﴾ يَقْبَل تَوْبَتهمْ ﴿وكانَ اللَّه عَلِيمًا﴾ بِخَلْقِهِ ﴿حَكِيمًا﴾ فِي صُنْعه بِهِمْ
